protein,degree,clustering_coefficient,betweenness_centrality,closeness_centrality,pagerank,drug_target
DUS2,3,0.3333333333333333,6.524403294748411e-05,0.24561367211578966,3.1368622639197784e-05,0
KCNC1,19,0.11695906432748537,0.00019242194172419702,0.2668595786442807,0.00013012625401558723,1
SAA2-SAA4,8,0.4642857142857143,3.183259564539142e-05,0.26508701184424593,4.0074904410189815e-05,0
GTF2I,17,0.3014705882352941,0.0007135806857175244,0.29138982469588287,8.276768502586485e-05,0
SRGAP2,12,0.5,0.0001327112323399183,0.2723372302639978,7.215604615123322e-05,0
SRGAP3,8,1.0,0.0,0.2433108575071743,5.495058455404101e-05,0
NPEPPS,8,1.0,0.0,0.2433108575071743,5.384941757019687e-05,1
NBPF1,8,1.0,0.0,0.2433108575071743,5.461112833462601e-05,0
HYDIN,8,1.0,0.0,0.2433108575071743,5.569420508353149e-05,0
GPRIN2,8,1.0,0.0,0.2433108575071743,5.516065778513204e-05,0
PRSS8,1,0.0,0.0,0.2127632803799912,1.889471677865133e-05,0
WWP1,4,0.5,1.6934429358325502e-05,0.2861376829173436,2.836097864779388e-05,0
SMAD3,128,0.1641240157480315,0.0018135168769057462,0.34702099368012074,0.0004179909306212984,0
CEBPA,65,0.23413461538461539,0.0007433002895382463,0.3320441528629795,0.00020090598207276242,0
HDAC3,87,0.29724672547447206,0.0006903299060304271,0.31753971988747753,0.0002367501023860732,1
CEBPB,58,0.33575317604355714,0.00031616181212697165,0.33130835136664016,0.0001870221074250719,0
SP1,52,0.41402714932126694,0.00012350214242746655,0.33557026577234816,0.00016481010160594896,0
EGR1,40,0.391025641025641,0.0001378215640574031,0.3239790421284765,0.00013448155206657774,0
NR0B2,44,0.18921775898520085,0.0014927808506331915,0.31791259651434084,0.0001703112723070338,0
FABP4,32,0.3407258064516129,0.0003703195239087091,0.30218431939335627,0.0001222311172901406,1
PLIN1,23,0.4150197628458498,2.7253462989974326e-05,0.3014205158598491,9.340471844998581e-05,0
SMARCD3,26,0.9138461538461539,3.6790453558023458e-06,0.2876908585418986,8.210981636276163e-05,0
ARID1A,34,0.6506238859180036,5.693175132809111e-05,0.3068872891017544,0.00010247286113086886,0
SMARCA4,127,0.22122234720659917,0.0013917718734280647,0.3328827596560669,0.00033922783474436016,0
CEBPD,9,0.4722222222222222,0.00039927970981106767,0.2817910431970959,5.407575341233485e-05,0
NCOA6,18,0.7058823529411765,2.8414231310788973e-05,0.30652105274083125,6.452029273714759e-05,0
KDM3A,6,0.7333333333333333,2.063314875346369e-05,0.2918992920001855,2.9654276578618804e-05,0
PRDM16,16,0.24166666666666667,6.132889911965166e-05,0.28400408277537825,7.214632143223166e-05,0
AKT1S1,42,0.34494773519163763,0.00017104281897924924,0.3066054912176048,0.00014013263959940602,0
RPTOR,65,0.2173076923076923,0.0009342679918548692,0.32118468653233184,0.0002180282835555959,0
SDR42E1,8,0.8928571428571429,8.533614561921216e-06,0.23983307404339227,4.1643735811189696e-05,0
MAT2B,15,0.34285714285714286,0.0001251957493136269,0.2698356276047293,6.597208187484922e-05,0
NDUFAF6,11,0.4727272727272727,3.603300304359356e-05,0.23855937136390487,3.834366753948037e-05,0
WDR97,3,0.3333333333333333,4.4266588505643196e-07,0.21880013987091795,2.5076014433148214e-05,0
DHDH,8,0.5,1.5345750681956308e-06,0.2306282636545187,4.146660595488542e-05,0
AKR1C2,29,0.47783251231527096,5.730063956563814e-06,0.2381906551794166,0.00010238131894186904,1
EPHX1,40,0.591025641025641,4.6873398717642185e-05,0.2665400458615924,0.0001345209704523216,0
UGT2A2,41,0.2817073170731707,7.188631652791967e-05,0.27243351746227434,0.00013246309348452194,0
UGT2B10,44,0.24947145877378435,4.885096757154985e-05,0.27382614410284745,0.00014323066333495106,0
UGT2B11,43,0.27906976744186046,0.0001006727150828118,0.2733106328223068,0.0001380873253780206,0
UGT2B28,46,0.2763285024154589,4.834960746914146e-05,0.2735046553875868,0.00014462780827819704,0
CYP2A13,52,0.4457013574660634,4.217622182621005e-05,0.2664691424656939,0.00016274714467109247,0
CYP2A6,84,0.2991967871485944,0.0005105200072224711,0.27942503287596215,0.00028701589059144315,1
CYP2D6,48,0.3067375886524823,0.0006747654456111872,0.29162735461208084,0.00017909188109046045,1
SLC7A13,1,0.0,0.0,9.917683229197659e-05,9.916699722332408e-05,0
SLC7A3,1,0.0,0.0,9.917683229197659e-05,9.916699722332408e-05,1
NTPCR,41,0.37926829268292683,0.0002671734541807265,0.2791291555039531,0.00016415390625408897,0
SLC19A2,2,1.0,0.0,0.1962637983418634,3.2780591548964375e-05,0
SLC19A3,3,0.6666666666666666,0.0,0.20442243181034173,4.115794624685732e-05,0
THTPA,2,1.0,0.0,0.21871892407193097,2.4226856290162245e-05,0
ALPG,10,0.28888888888888886,0.00028830829093725414,0.2508101856223332,7.235602150710648e-05,1
ALPI,6,0.4,3.0283265047693907e-05,0.24170808106484487,4.5173360500104936e-05,0
ALPP,8,0.21428571428571427,0.0002660339994025257,0.24260372980310888,7.541218397321239e-05,1
SLC25A19,6,0.3333333333333333,0.0001997554398866319,0.24347644751276956,4.106831139990721e-05,0
ALPL,24,0.10144927536231885,0.0019994972102507333,0.28019882527469553,0.00021689520787944306,1
COX6A1,67,0.7548620533695161,5.178862954504657e-05,0.2738860393604846,0.00012508235839326585,0
COX7B,81,0.8274691358024692,5.164435325658373e-07,0.27384111546119094,0.00014549168412160817,1
COX4I1,109,0.5825688073394495,0.00114957379243255,0.30099483183805187,0.00021829280976754095,1
COX6B1,96,0.6677631578947368,0.00016386015511838924,0.2775975614125084,0.00018708044032791912,1
COX6C,86,0.7129958960328318,1.7126251241849958e-05,0.27567240013128125,0.0001536041719088428,1
C15orf48,3,1.0,0.0,0.23737222757275747,1.9466309888631323e-05,0
COX7A2,67,0.7033016734509272,0.00010319525482632221,0.26114781801893644,0.0001215454405345399,0
ADH1A,53,0.2946298984034833,3.2577749885236416e-05,0.27587738924732486,0.00016320446630391783,1
ADH6,60,0.26384180790960454,0.00010434454662419097,0.27604464295553255,0.00017663500454741086,0
ADH1C,55,0.27070707070707073,6.108871188942657e-05,0.2759990081988859,0.0001674284695792561,1
ADH1B,56,0.2577922077922078,0.00016792776275107438,0.27604464295553255,0.00017210717244521743,1
ACYP1,9,0.8055555555555556,0.0,0.24001696426429533,4.647749439196196e-05,0
ACYP2,10,0.6444444444444445,0.00019770442128587044,0.2400227153776385,6.20783386345341e-05,1
ASMT,17,0.16911764705882354,9.609456612936144e-05,0.26711575700835616,7.982561757591791e-05,0
BBOX1,50,0.03836734693877551,0.0036453453659233267,0.2677011145025352,0.0005877408908480327,1
ACSF3,14,0.21978021978021978,4.0331780638474915e-06,0.26255099215187183,6.536559156618698e-05,0
AKR1A1,21,0.07142857142857142,0.00016081723703444576,0.261038932703663,9.799077146749273e-05,1
ADH7,54,0.23270440251572327,0.00027623498879815944,0.2763035252267437,0.00016731572695022912,1
ADH4,48,0.21897163120567376,0.00011613749370274988,0.2758621944142533,0.0001513335878368362,1
SERPINA6,6,0.26666666666666666,3.5413270804514556e-05,0.28387530828833185,3.5495351812761796e-05,1
SHBG,20,0.24736842105263157,0.0005817777381936107,0.3010038764256848,8.496018525269921e-05,1
TMEM109,18,0.3006535947712418,0.00016540292770297478,0.26048909123834,7.756002291565029e-05,0
EIF2S1,126,0.3507301587301587,0.0018436017620568042,0.3167464981366123,0.0002737245954372777,0
EIF2AK4,32,0.1592741935483871,0.0012504016045254594,0.2945601788917095,0.00011931218420098321,1
FGD6,2,1.0,0.0,0.22914054358976954,2.4722527704177473e-05,0
UBE2I,52,0.21116138763197587,0.0007224471194448769,0.3209171526741323,0.0001698305831395013,0
AADAT,18,0.2222222222222222,8.574438193543087e-05,0.25754230630081926,8.315232044589038e-05,1
ASPG,3,0.3333333333333333,0.00019770442128587044,0.22738248521292878,4.830228424615107e-05,1
POLR3D,1,0.0,0.0,0.22736700191956705,1.8786796229549032e-05,0
ADRB1,28,0.17195767195767195,0.0002993191949522134,0.2952895676552889,0.0001192345348357576,1
ADRB3,18,0.3333333333333333,5.385932218514388e-05,0.2963203077524143,7.329617248904759e-05,1
MAGI2,4,0.16666666666666666,6.78754357086529e-05,0.23615786131905522,3.643149235829863e-05,0
GOPC,9,0.16666666666666666,8.629525503683444e-05,0.26299905491415576,5.693442360889737e-05,0
CAMK2D,18,0.37254901960784315,0.00028807220246522406,0.2852739079447048,8.347258618350219e-05,1
RBP1,12,0.30303030303030304,0.0002302895489358578,0.26105934178338763,5.8380336409619305e-05,1
CRABP1,8,0.35714285714285715,0.00012088385569252163,0.2622279582086483,4.215592046028492e-05,1
MGMT,22,0.2813852813852814,0.00043030403034041156,0.31338718569548135,7.514987002380804e-05,1
DAPK1,25,0.21666666666666667,0.0005165714138215203,0.3120011213969465,0.00012386228044459046,1
RASSF1,22,0.18181818181818182,0.00034332018392682276,0.3010943522068702,9.811849165508296e-05,0
HOXD4,1,0.0,0.0,0.21869982323363896,1.918626171024057e-05,0
RERE,1,0.0,0.0,0.21869982323363896,1.896230263872151e-05,0
GCH1,57,0.21177944862155387,0.0013741119638692302,0.28890225834425537,0.00022851112022772964,1
